Table,Field,ShortDesc,Description,DataType,VisibleInRanking
"tblS7PreventionProgram3","MH_Fire",,"Process upsets, leaks, equipment failure, etc., could result in a fire.","Yes/No",0
"tblS7PreventionProgram3","MH_Floods",,"Report floods as a major hazard only if they occur or are likely to occur at your site such that you design and plan for them.","Yes/No",0
"tblS7PreventionProgram3","MH_Hurricanes",,"Report hurricanes as a major hazard only if they occur or are likely to occur at your site such that you design and plan for them.","Yes/No",0
"tblS7PreventionProgram3","MH_OtherType",,"The name of the major hazard if other than those listed in 7.4.d.1. through 7.4.d.15.","Text",0
"tblS7PreventionProgram3","MH_Overfilling",,"Filling a tank or vessel beyond its maximum safe capacity.","Yes/No",0
"tblS7PreventionProgram3","MH_Overpressurization",,"Instantaneous energy release or detonation.","Yes/No",0
"tblS7PreventionProgram3","MH_Polymerization",,"A chemical reaction that produces the bonding of two or more monomers.","Yes/No",0
"tblS7PreventionProgram3","MH_RunawayReaction",,"An uncontrolled reaction that proceeds at an increasing rate.","Yes/No",0
"tblS7PreventionProgram3","MH_Tornado",,"Report tornados as a major hazard only if they occur or are likely to occur at your site such that you design and plan for them.","Yes/No",0
"tblS7PreventionProgram3","MH_ToxicRelease",,"If an accidental release occurred a regulated toxic substance could be released.","Yes/No",0
"tblS7PreventionProgram3","MS_BlastWalls",,"A heavy wall used to isolate buildings or areas that contain highly combustible or explosive materials.","Yes/No",0
"tblS7PreventionProgram3","MS_DelugeSystem",,"A system to overflow an area of a release with water or other extinguishing fluid.","Yes/No",0
"tblS7PreventionProgram3","MS_Dikes",,"A low wall that acts as a barrier to prevent a spill from spreading.","Yes/No",0
"tblS7PreventionProgram3","MS_Enclosure",,"A physical containment of the release within a structure (e.g., a building).","Yes/No",0
"tblS7PreventionProgram3","MS_FireWalls",,"A wall constructed to prevent the spread of fire.","Yes/No",0
"tblS7PreventionProgram3","MS_Neutralization",,"Something that facilitates and controls the release by neutralizing the released chemical.","Yes/No",0
"tblS7PreventionProgram3","MS_None",,"No Mitigation systems in Use.","Yes/No",0
"tblS7PreventionProgram3","MS_OtherType",,"The type of the mitigation system in use if other than one of the choices above.","Text",0
"tblS7PreventionProgram3","MS_SprinklerSystem",,"A system for protecting a building against fire by means of overhead pipes that release an extinguishing fluid through heat activated outlets.","Yes/No",0
"tblS7PreventionProgram3","MS_WaterCurtain",,"A spray of water from a horizontal pipe through nozzles.  The curtain may be activated manually or automatically.","Yes/No",0
"tblS7PreventionProgram3","OpProceduresReviewDate",,"Date of most recent review of revision to operating procedures.","Date/Time",0
"tblS7PreventionProgram3","ParticipationPlansReviewDate",,"Date of most recent review or revision of employee participation plans.","Date/Time",0
"tblS7PreventionProgram3","PC_Alarms",,"Systems that operate a warning device after the occurrence of a Hazardous condition and procedures to activate the alarm system.","Yes/No",0
"tblS7PreventionProgram3","PC_AutomaticShutoffs",,"Controls the shutoff flow to a pipe or vessel and are triggered automatically when process conditions are exceeded.","Yes/No",0
"tblS7PreventionProgram3","PC_BackupPump",,"A secondary pump intended to serve the same function as the primary pump if the primary pump fails.","Yes/No",0
"tblS7PreventionProgram3","PC_CheckValves",,"A device for automatically limiting the flow in a piping system to a single direction.","Yes/No",0
"tblS7PreventionProgram3","PC_EmergencyAirSupply",,"A backup system to provide air to a process when the regular air supply fails.","Yes/No",0
"tblS7PreventionProgram3","PC_EmergencyPower",,"Backup power systems.","Yes/No",0
"tblS7PreventionProgram3","PC_ExcessFlowDevice",,"Flow-limiting equipment that protects downstream equipment from surges.","Yes/No",0
"tblS7PreventionProgram3","PC_Flares",,"A pre-release protection measure used for flammable gases and vapors to remove and possibly treat discharged liquids.","Yes/No",0
"tblS7PreventionProgram3","PC_GroundingEquipment",,"Devices that ground electrical equipment to avoid explosions.","Yes/No",0
"tblS7PreventionProgram3","PC_InhibitorAddition",,"A substance that is added to a reaction that is capable of stopping or retarding a chemical reaction.","Yes/No",0
"tblS7PreventionProgram3","PC_Interlocks",,"A switch or other device that prevents activation of a piece of equipment when a protective door is open or some other hazard exists.","Yes/No",0
"tblS7PreventionProgram3","PC_KeyedBypass",,"A bypass system that is activated by a control signal.","Yes/No",0
"tblS7PreventionProgram3","PC_ManualShutoffs",,"Manual controls of the shutoff flow to a pipe or vessel.","Yes/No",0
"tblS7PreventionProgram3","PC_None",,"No Process Controls in Use.","Yes/No",0
"tblS7PreventionProgram3","PC_OtherType",,"The name of the process control if other than those listed in 7.4.e.1. through 7.4.e.19.","Text",0
"tblS7PreventionProgram3","PC_PurgeSystem",,"A system that replaces the atmosphere in a container with an inert substance to prevent the formation of an explosive mixture.","Yes/No",0
"tblS7PreventionProgram3","PC_QuenchSystem",,"A system that cools by removing excess heat or immersing liquid into a cooling medium.","Yes/No",0
"tblS7PreventionProgram3","PC_ReliefValves",,"A valve that relieves pressure beyond a specified limit and re-closes upon return to normal operating procedures.","Yes/No",0
"tblS7PreventionProgram3","PC_RuptureDisks",,"A device that relieves pressure beyond a specified limit.","Yes/No",0
"tblS7PreventionProgram3","PC_Scrubbers",,"A pre-release protection measure that uses water or aqueous mixtures containing scrubbing reagents to remove discharging liquids and may treat the discharging chemical.","Yes/No",0
"tblS7PreventionProgram3","PC_Vents",,"An opening provided for the discharge of pressure or release of pressure from tanks, vessels, processing equipment, etc.","Yes/No",0
"tblS7PreventionProgram3","PHA_Checklist",,"This technique involves developing a checklist of failure areas and reviewing each area to determine the possible effects of failure.","Yes/No",0
"tblS7PreventionProgram3","PHA_Date",,"Date of completion of the most recent Process Hazard Analysis (PHA) or update.","Date/Time",0
"tblS7PreventionProgram3","PHA_FMEA",,"This is a methodology of tabulating the source's equipment, failure modes (how equipment fails), each failure mode's effect on the source, and a
ranking of each failure mode.","Yes/No",0
"tblS7PreventionProgram3","PHA_FTA",,"This is a deductive technique that focuses on one particular accident event and provides a method for determining causes of the event. The fault tree is a
graphic model that displays the various combinations of equipment faults and failures that can result in a release.","Yes/No",0
"tblS7PreventionProgram3","PHA_HAZOP",,"Hazard and Operability Studies (HAZOPs) are conducted by teams that brainstorm to systematically identify hazards or operability problems through the use of certain guidewords.","Yes/No",0
"tblS7PreventionProgram3","PHA_OtherTechnique",,"The name of the PHA technique used if other than 7.4.b.1 through 7.4.b.6.","Text",0
"tblS7PreventionProgram3","PHA_WhatIf",,"A What If analysis considers the consequences associated with events that occurred as a result of failures involving equipment, design, or procedures.","Yes/No",0
"tblS7PreventionProgram3","PHA_WhatIfChecklist",,"This technique combines the What If and checklist analysis techniques to identify and evaluate process hazards.","Yes/No",0
"tblS7PreventionProgram3","PHACompletionDate",,"The expected or actual date of completion of all changes recommend by the PHA.","Date/Time",0
"tblS7PreventionProgram3","PreStartupReviewDate",,"Date of the most recent pre-startup review.","Date/Time",0
"tblS7PreventionProgram3","PreventionProgram3ID",,"A unique number used to identify each prevention program within a NAICS code within a process. Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS7PreventionProgram3","Process_NAICS_ID",,"A number from Section 1 Process NAICS.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS7PreventionProgram3","SafetyReviewDate",,"Date on which safety information was last reviewed or revised.","Date/Time",0
"tblS7PreventionProgram3","TR_Classroom",,"An indication that training was in a classroom setting.","Yes/No",0
"tblS7PreventionProgram3","TR_OnTheJob",,"An indication that training was on the job.","Yes/No",0
"tblS7PreventionProgram3","TR_OtherType",,"The name of the type of training provided if other than those listed in 7.6.b.1 or 7.6.b.2.","Text",0
"tblS7PreventionProgram3","TrainingReviewDate",,"The date of the most recent review or revision of training programs.","Date/Time",0
"tblS8_Prevention_Program_Chemicals","PreventionProgram2ID",,"A unique number used to identify each prevention program within a NAICS code.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS8_Prevention_Program_Chemicals","PrimaryKey",,"Unique identifier for the Prevention Program 2 Chemicals record destination table.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS8_Prevention_Program_Chemicals","ProcessChemicalID",,"A number used to identify each chemical within a single RMP.  Generated by RMP*Submit and 3rd- party programs.","Long Integer",0
"tblS8PreventionProgram2","AuditCompletionDate",,"Expected or actual date of completion of all changes resulting from the Compliance Audit.","Date/Time",0
"tblS8PreventionProgram2","CBI_Flag",,"An indication that Confidential Business Information (CBI) was claimed for certain data elements in the record.","Yes/No",0
"tblS8PreventionProgram2","CH_ChangeProcessParameters",,"An increase or decrease in temperature, pressure, flow rates, etc.","Yes/No",0
"tblS8PreventionProgram2","CH_ChemicalIncrease",,"An increase in the quantity of regulated substances stored on site.","Yes/No",0
"tblS8PreventionProgram2","CH_ChemicalReduction",,"A decrease in the quantity of regulated substances stored on site.","Yes/No",0
"tblS8PreventionProgram2","CH_InstallMitigationSystems",,"Addition of systems such as those listed under Mitigation Systems.","Yes/No",0
"tblS8PreventionProgram2","CH_InstallPerimeterMonitoring",,"Additional perimeter monitoring systems have been installed to detect a release of a regulated substance from a process.","Yes/No",0
"tblS8PreventionProgram2","CH_InstallProcessControls",,"The addition of process controls used to prevent or limit releases.","Yes/No",0
"tblS8PreventionProgram2","CH_InstallProcessDetection",,"Additional detection systems have been installed to detect a release of a regulated substance from the process.","Yes/No",0
"tblS8PreventionProgram2","CH_None",,"No Changes since last PHA update.","Yes/No",0
"tblS8PreventionProgram2","CH_NoneRequired",,"No changes were recommended to be made to the process.","Yes/No",0
"tblS8PreventionProgram2","CH_OtherChanges",,"The name of the change since the last PHA update if other than those listed in 8.4.g.1. Through 8.4.g.9.","Text",0
"tblS8PreventionProgram2","ChangeCompletionDate",,"Expected or actual date of completion of all changes resulting from the Compliance Audit.","Date/Time",0
"tblS8PreventionProgram2","ComplianceAuditDate",,"Date of most recent Compliance Audit.  Required if a resubmission.","Date/Time",0
"tblS8PreventionProgram2","CT_Demonstration",,"A demonstration was given to determine and evaluate employee comprehension of training materials.","Yes/No",0
"tblS8PreventionProgram2","CT_Observation",,"Employees were observed to determine and evaluate employee comprehension of training materials.","Yes/No",0
"tblS8PreventionProgram2","CT_OralTest",,"An oral test was given to determine and evaluate employee comprehension of training materials.","Yes/No",0
"tblS8PreventionProgram2","CT_OtherType",,"A description of the type of competency test used if other than those listed in 8.6.c.1. through 8.6.c.4.","Text",0
"tblS8PreventionProgram2","CT_WrittenTest",,"A written test was given to determine and evaluate employee comprehension of training materials.","Yes/No",0
"tblS8PreventionProgram2","Description",,"The Prevention Program includes an optional description field.","Memo",0
"tblS8PreventionProgram2","EquipmentInspectionDate",,"Date of most recent equipment inspection or test.","Date/Time",0
"tblS8PreventionProgram2","EquipmentTested",,"The name or description of the equipment tested.","Text",0
"tblS8PreventionProgram2","FR_ANSI",,"An indication of safety compliance with the American National Standards Institute (ANSI) standards.  Nationally coordinates voluntary standards.  Gives status to standards in such areas as definitions, terminology, symbols, and abbreviations; materials, performance characteristics, procedure, and methods of rating; methods of testing and analysis; size, weight, and volume; safety, health, and building construction.","Yes/No",0
"tblS8PreventionProgram2","FR_ASME",,"An indication of safety compliance with the American Society of Mechanical Engineers standards.  Conducts research and develops boiler, pressure vessel, and power test codes.  Also develops safety codes and standards for equipment.","Yes/No",0
"tblS8PreventionProgram2","FR_ASTM",,"An indication of safety compliance with the American Society of Testing Materials (ASTM) standards.  Establishes standards for materials, products, systems, services, test methods, specifications, classifications, definitions, and recommended practices.","Yes/No",0
"tblS8PreventionProgram2","FR_Comments",,"A comment field to explain how Federal, State, or industry-specific design codes and standards are being used to demonstrate compliance with the
safety information requirement.","Text",0
"tblS8PreventionProgram2","FR_NFPA58",,"An indication of safety compliance with the National Fire Protection Association (NFPA) propane handling laws.  Propane laws are based on
NFPA 59 except in the states of California and Texas.","Yes/No",0
"tblS8PreventionProgram2","FR_None",,"An indication that no Federal or state regulations or industry-specific design codes or standards were used to demonstrate compliance with the safety information requirement.","Yes/No",0
"tblS8PreventionProgram2","FR_OSHA",,"An indication of safety compliance with the Occupational Safety and Health Administration  (OSHA) rule for handling anhydrous ammonia.","Yes/No",0
"tblS8PreventionProgram2","FR_OtherType",,"The name of the industry-specific design code or standard used to demonstrate compliance with the safety information requirement if other than one of the choices above.","Text",0
"tblS8PreventionProgram2","HazardReviewDate",,"Date of completion of most recent hazard review or update.","Date/Time",0
"tblS8PreventionProgram2","IncidentInvestigationDate",,"Date of most recent incident investigation.","Date/Time",0
"tblS8PreventionProgram2","InvestigationChangeDate",,"The expected or actual date of completion of all changes resulting from the investigation.","Date/Time",0
"tblS8PreventionProgram2","MaintenanceReviewDate",,"Date of most recent change that triggered review or revision of safety information, hazard review, operating or maintenance procedures or training.","Date/Time",0
"tblS8PreventionProgram2","MD_None",,"No Monitoring or detection in Use.","Yes/No",0
"tblS8PreventionProgram2","MD_OtherType",,"A description of the monitoring or detection mechanism in place if other than those specified in 8.4.f.1. and 8.4.f.3.","Text",0
"tblS8PreventionProgram2","MD_PerimeterMonitors",,"Integrated detection networks at the source boundary.  Detection systems can include fluorescent SO2 analyzers, photoelectric tape sensors, or electrolytic chlorine detectors.","Yes/No",0
"tblS8PreventionProgram2","MD_ProcessAreaDetectors",,"Detection systems located on or close to process equipment.  Detection systems include indicator tubes, and chromatographic, spectrometric, electrochemical, and colorimetric gas analysis.","Yes/No",0
"tblS8PreventionProgram2","MH_Contamination",,"A release could occur if inappropriate substances are introduced into storage or process vessels.  Contamination may be a major hazard when 
controlling inappropriate substances (e.g., H2O) is difficult.","Yes/No",0
"tblS8PreventionProgram2","MH_CoolingLoss",,"These losses could be major hazards if they could lead to releases. For example, loss of cooling could lead to an increase in pressure and failure of a vessel or pipe, and a loss of heating or power could lead to unstable processes.","Yes/No",0
"tblS8PreventionProgram2","MH_Corrosion",,"The presence of the regulated substance could lead to destruction of equipment and a release. Corrosion may be a major hazard for substances
identified as corrosives on MSDSs unless the equipment used limits the hazard.","Yes/No",0
"tblS8PreventionProgram2","MH_Earthquake",,"Report earthquakes as a major hazard only if they occur or are likely to occur at your site such that you design and plan for them.","Yes/No",0
"tblS8PreventionProgram2","MH_EquipmentFailure",,"Equipment failure will be a major hazard for most processes because such failure could lead to a release.  Equipment failure includes cracks, weld
failures, disk failures, ruptures, pump/gauge/control system failures, etc.","Yes/No",0
"tblS8PreventionProgram2","MH_Explosion",,"Confined or unconfined vapor cloud explosions.","Yes/No",0
"tblS8PreventionProgram2","MH_Fire",,"Process upsets, leaks, equipment failure, etc., could result in a fire.","Yes/No",0
"tblS8PreventionProgram2","MH_Floods",,"Report floods as a major hazard only if they occur or are likely to occur at your site such that you design and plan for them.","Yes/No",0
"tblS8PreventionProgram2","MH_Hurricanes",,"Report hurricanes as a major hazard only if they occur or are likely to occur at your site such that you design and plan for them.","Yes/No",0
"tblS8PreventionProgram2","MH_OtherType",,"The name of the major hazard identified if other than those listed in 8.4.c.1 through 8.4.c.15.","Text",0
"tblS8PreventionProgram2","MH_Overfilling",,"Filling a tank or vessel beyond its maximum safe capacity.","Yes/No",0
"tblS8PreventionProgram2","MH_Overpressurization",,"Instantaneous energy release or detonation.","Yes/No",0
"tblS8PreventionProgram2","MH_Polymerization",,"A chemical reaction that produces the bonding of two or more monomers.","Yes/No",0
"tblS8PreventionProgram2","MH_RunawayReaction",,"An uncontrolled reaction that proceeds at an increasing rate.","Yes/No",0
"tblS8PreventionProgram2","MH_Tornado",,"Report tornados as a major hazard only if they occur or are likely to occur at your site such that you design and plan for them.","Yes/No",0
"tblS8PreventionProgram2","MH_ToxicRelease",,"If an accidental release occurred a regulated toxic substance could be released.","Yes/No",0
"tblS8PreventionProgram2","MostRecentChangeDate",,"Date of most recent change that triggered review or revision of safety information, hazard review, operating or maintenance procedures or training.","Date/Time",0
"tblS8PreventionProgram2","MS_BlastWalls",,"A mitigation system which uses a heavy wall used to isolate buildings or areas that contain highly combustible or explosive materials.","Yes/No",0
"tblS8PreventionProgram2","MS_DelugeSystem",,"A mitigation system to overflow an area of a release with water or other extinguishing fluid.","Yes/No",0
"tblS8PreventionProgram2","MS_Dikes",,"A low wall that acts as a barrier mitigating the spreading of a spill.","Yes/No",0
"tblS8PreventionProgram2","MS_Enclosure",,"A mitigation system which uses physical containment of the release within a structure (e.g., a building).","Yes/No",0
"tblS8PreventionProgram2","MS_FireWalls",,"A wall constructed to mitigate the spread of fire.","Yes/No",0
"tblS8PreventionProgram2","MS_Neutralization",,"A mitigation system which controls a release by neutralizing the released chemical.","Yes/No",0
"tblS8PreventionProgram2","MS_None",,"No Mitigation systems in Use.","Yes/No",0
"tblS8PreventionProgram2","MS_OtherType",,"The name of the mitigation system if other than those listed in 8.4.e.1. through 8.4.e.9. are blank.","Text",0
"tblS8PreventionProgram2","MS_SprinklerSystem",,"A mitigation system for protecting a building against fire by means of overhead pipes which convey an extinguishing fluid through heat activated outlets.","Yes/No",0
"tblS8PreventionProgram2","MS_WaterCurtain",,"A mitigation system which uses a spray of water from a horizontal pipe through nozzles, the curtain may be activated manually or automatically.","Yes/No",0
"tblS8PreventionProgram2","OpProceduresReviewDate",,"The date of most recent review or revision of operating procedures.","Date/Time",0
"tblS8PreventionProgram2","PC_Alarms",,"Systems that operate a warning device after the occurrence of a Hazardous condition and procedures to activate the alarm system.","Yes/No",0
"tblS8PreventionProgram2","PC_AutomaticShutoffs",,"Controls of the shutoff flow to a pipe or vessel and are triggered automatically when process conditions are exceeded.","Yes/No",0
"tblS8PreventionProgram2","PC_BackupPump",,"A secondary pump intended to serve the same function as the primary pump if the primary pump fails.","Yes/No",0
"tblS8PreventionProgram2","PC_CheckValves",,"A device for automatically limiting the flow in a piping system to a single direction.","Yes/No",0
"tblS8PreventionProgram2","PC_EmergencyAirSupply",,"A backup system to provide air to a process when the regular air supply fails.","Yes/No",0
"tblS8PreventionProgram2","PC_EmergencyPower",,"Backup power systems.","Yes/No",0
"tblS8PreventionProgram2","PC_ExcessFlowDevice",,"Flow-limiting equipment that protects downstream equipment from surges.","Yes/No",0
"tblS8PreventionProgram2","PC_Flares",,"A pre-release protection measure used for flammable gases and vapors to remove and possibly treat discharged liquids.","Yes/No",0
"tblS8PreventionProgram2","PC_GroundingEquipment",,"Devices that ground electrical equipment to avoid explosions.","Yes/No",0
"tblS8PreventionProgram2","PC_InhibitorAddition",,"A substance that is added to a reaction that is capable of stopping or retarding a chemical reaction.","Yes/No",0
"tblS8PreventionProgram2","PC_Interlocks",,"A switch or other device that prevents activation of a piece of equipment when a protective door is open or some other hazard exists.","Yes/No",0
"tblS8PreventionProgram2","PC_KeyedBypass",,"A bypass system that is activated by a control signal.","Yes/No",0
"tblS8PreventionProgram2","PC_ManualShutoffs",,"Manual controls of the shutoff flow to a pipe or vessel.","Yes/No",0
"tblS8PreventionProgram2","PC_None",,"No Process Controls in Use.","Yes/No",0
"tblS8PreventionProgram2","PC_OtherType",,"The name of the process control in use if other than those listed in 8.4.d.1. - 8.4.d.20.","Text",0
"tblS8PreventionProgram2","PC_PurgeSystem",,"A system that replaces the atmosphere in a container with an inert substance to prevent the formation of an explosive mixture.","Yes/No",0
"tblS8PreventionProgram2","PC_QuenchSystem",,"A system that cools by removing excess heat or immersing liquid into a cooling medium.","Yes/No",0
"tblS8PreventionProgram2","PC_ReliefValves",,"A valve that relieves pressure beyond a specified limit and re-closes upon return to normal operating procedures.","Yes/No",0
"tblS8PreventionProgram2","PC_RuptureDisks",,"A device that relieves pressure beyond a specified limit.","Yes/No",0
"tblS8PreventionProgram2","PC_Scrubbers",,"A pre-release protection measure that uses water or aqueous mixtures containing scrubbing reagents to remove discharging liquids and may treat the discharging chemical.","Yes/No",0
"tblS8PreventionProgram2","PC_Vents",,"An opening provided for the discharge of pressure or release of pressure from tanks, vessels, processing equipment, etc.","Yes/No",0
"tblS8PreventionProgram2","PreventionProgram2ID",,"A unique number used to identify each prevention program within a NAICS code within a process.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS8PreventionProgram2","Process_NAICS_ID",,"A number from Section 1 Process NAICS.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS8PreventionProgram2","SafetyReviewDate",,"Date of most recent review or revision of safety information.","Date/Time",0
"tblS8PreventionProgram2","TR_Classroom",,"An indication that training was in a classroom setting.","Yes/No",0
"tblS8PreventionProgram2","TR_OnTheJob",,"An indication that training was on the job.","Yes/No",0
"tblS8PreventionProgram2","TR_OtherType",,"A description of the type of training type provided if other than those  listed in 8.6.b.1 through 8.6.b.2.","Text",0
"tblS8PreventionProgram2","TrainingReviewDate",,"The date of most recent review or revision of training programs.","Date/Time",0
"tblS9EmergencyResponses","CoordinatingAgencyName",,"Name of local agency with which the ER plan is coordinated.","Text",0
"tblS9EmergencyResponses","CoordinatingAgencyPhone",,"Phone number of local agency with which the ER plan is coordinated.","Text",0
"tblS9EmergencyResponses","ER_CommunityPlan",,"Flag indicating that the facility is included in the written Community Emergency Response Plan (ERP).","Yes/No",0
"tblS9EmergencyResponses","ER_EmergencyHealthCare",,"Flag indicating that plan includes information on emergency health care.","Yes/No",0
"tblS9EmergencyResponses","ER_FacilityPlan",,"Flag indicating that the facility has its own written Emergency Response Plan (ERP).","Yes/No",0
"tblS9EmergencyResponses","ER_PublicInfoProcedures",,"Flag indicating that plan includes procedures for informing public and local agencies responding to the accidental releases.","Yes/No",0
"tblS9EmergencyResponses","ER_ResponseActions",,"Flag indicating that the plan includes specific actions that should be taken in response to an accidental release of a regulated substance.","Yes/No",0
"tblS9EmergencyResponses","ER_ReviewDate",,"Date of most recent review or update of ER plan.","Date/Time",0
"tblS9EmergencyResponses","ERTrainingDate",,"Date of most recent ER training for employees.","Date/Time",0
"tblS9EmergencyResponses","FacilityID",,"Unique identifier for all RMPs submitted by a specific facility (assigned by Reporting Center for first-time submission). * After this number is assigned to the first submission for a facility, subsequent submissions for the same facility must include this identifier.","Long Integer",0
"tblS9EmergencyResponses","FR_EPCRA",,"These are the state Emergency Planning and Community Right-to-Know Act (EPCRA) laws.  Federal EPCRA does not require facility response plans, but some state laws may.","Yes/No",0
"tblS9EmergencyResponses","FR_OPA90",,"An indication that the site is subject to EPA, U.S. Coast Guard, Department of Transportation, and Department of the Interior facility response plan requirements.  Currently these apply only to oil.","Yes/No",0
"tblS9EmergencyResponses","FR_OSHA1910_120",,"An indication that the site is subject to OSHA's Hazardous Waste Operations and Emergency Response (HAZWOPER) plan.","Yes/No",0
"tblS9EmergencyResponses","FR_OSHA1910_38",,"An indication that the site is subject to OSHA's Emergency Action Plan.  All sources are subject to this Rule except State and local governments in states without delegated OSHA programs.","Yes/No",0
"tblS9EmergencyResponses","FR_OtherRegulation",,"The name of the other regulation which applies to the Emergency Response Plan if other than those listed in 9.8.a. through 9.8.f.","Text",0
"tblS9EmergencyResponses","FR_RCRA",,"An indication that the site is subject to EPA's Resource Conservation and Recovery Act (RCRA) permitting requirements for solid waste.","Yes/No",0
"tblS9EmergencyResponses","FR_SPCC",,"An indication that the site is subject to EPA's Oil Spill Prevention Control and Countermeasures Plan requirements.","Yes/No",0
"tblUserUndefined","Checkbox1",,"User Deifned Checkbox 1.","Yes/No",0
"tblUserUndefined","Checkbox2",,"User Deifned Checkbox 2.","Yes/No",0
"tblUserUndefined","Checkbox3",,"User Deifned Checkbox 3.","Yes/No",0
"tblUserUndefined","Date1",,"User Deifned Date 1.","Date/Time",0
"tblUserUndefined","Date2",,"User Deifned Date 2.","Date/Time",0
"tblUserUndefined","Date3",,"User Deifned Date 3.","Date/Time",0
"tblUserUndefined","EPAFacilityID",,"Unique identifier for all RMPs submitted by a specific facility (assigned by Reporting Center for first-time submission). * After this number is assigned to the first submission for a facility, subsequent submissions for the same facility must include this identifier.","Text",0
"tblUserUndefined","Memo1",,"User Deifned Memo 1.","Memo",0
"tblUserUndefined","Number1",,"User Deifned Number 1.","Double",0
"tblUserUndefined","Number2",,"User Deifned Number 2.","Double",0
"tblUserUndefined","Number3",,"User Deifned Number 3.","Double",0
"tblUserUndefined","Textbox1",,"User Deifned Text 1.","Text",0
"tblUserUndefined","Textbox2",,"User Deifned Text 2.","Text",0
"tblUserUndefined","Textbox3",,"User Deifned Text 3.","Text",0
"tlkpAuditStatus","AuditStatus",,"Description of an audit status.","Text",0
"tlkpAuditStatus","AuditStatusID",,"Unique Identifier of an audit status.","Text",0
"tlkpAuditStatus","PrimaryKey",,"Unique key.","Long Integer",0
"tlkpAuditType","AuditType",,"Description of an audit type.","Text",0
"tlkpAuditType","AuditTypeID",,"Unique Identifier of an audit type.","Long Integer",0
"tlkpAuditType","PrimaryKey",,"Unique key.","Long Integer",0
"tlkpChemicals","CASNumber",,"Chemical Abstract Service (CAS) registry number for the chemical.","Text",0
"tlkpChemicals","ChemicalID",,"Unique Identifier for a Chemical.","Long Integer",0
"tlkpChemicals","ChemicalName",,"The name of the regulated chemical above the threshold quantity in a Process at the source.","Text",0
"tlkpChemicals","ChemOwner",,"FED or State Abreviation","Text",0
"tlkpChemicals","ChemType",,"Chemical Type - (T)oxic or (F)lammable.","Text",0
"tlkpChemicals","flgCBI",,"An indication that the Chemical is determined to be Confidential Business Information (CBI). ‘Y’es or ‘N’o.","Yes/No",0
"tlkpChemicals","Threshold",,"Is the chemical quantity limit upon which reporting is required.","Double",0
"tlkpCountyFIPSCodes","County_Code",,"Federal Information Processing Standard (FIPS) code for the county in which the facility is located.","Text",0
"tlkpCountyFIPSCodes","County_Name",,"The name of the county.","Text",0
"tlkpCountyFIPSCodes","State_Code",,"The U.S. Postal Service abbreviation for the state in which the facility is located.","Text",0
"tlkpDocHandle","Description",,"A description of how the document was handled","Text",0
"tlkpDocHandle","LookupCode",,"Primary Key.","Text",0
"tlkpDocType","Description",,"The type of document description","Text",0
"tlkpDocType","LookupCode",,"Primary Key.","Text",0
"tlkpLatLongDescriptions","Feat_Code",,"Unique identifier for each Latitude and longitude description.","Text",0
"tlkpLatLongDescriptions","Feat_Desc",," Latitude and longitude description.","Text",0
"tlkpLatLongMethods","Method_Code",,"Code representing method used to obtain latitude or longitude data.  Codes can be obtained from Method Accuracy Description (MAD) Version 6.1 Information Coding Standards as implemented in Envirofacts Locational Reference Tables (EF LRT).","Text",0
"tlkpLatLongMethods","Method_Desc",,"Description of the method the Latitude and longitude was obtained.","Text",0
"tlkpLatLongMethods","Primary_Key",," Primary Key for latitude and longitude methods.","Long Integer",0
"tlkpNAICS","NAICS_CODE",,"The 5- or 6- digit NAICS code.","Text",0
"tlkpNAICS","NAICS_DESCRIPTION",,"Description text for the NAICS code.","Text",0
"tlkpPhysicalStateCodes","Description",,"Physical State description.","Text",0
"tlkpPhysicalStateCodes","LookupCode",,"System generated Unique Primary key.","Text",0
"tlkpRejectReason","Description",,"Rejection Reason descriptions.","Text",0
"tlkpRejectReason","LookupCode",," System generated Unique Primary key.","Text",0
"tlkpS2ScenarioCodes","Description",,"Pick-list text.","Text",0
"tlkpS2ScenarioCodes","LookupCode",,"System generated Unique Primary key.","Text",0
"tlkpS6InitiatingEvents","Description",,"Pick-list text.","Text",0
"tlkpS6InitiatingEvents","LookupCode",,"System generated Unique Primary key.","Text",0
"tlkpStateFIPSCodes","REGION",,"The code which represents the EPA Region in which the state resides.","Text",0
"tlkpStateFIPSCodes","STATE_ABBR",,"The U.S. Postal Service abbreviation for the state in which the facility is located.","Text",0
"tlkpStateFIPSCodes","STATE_CODE",,"Federal Information Processing Standard (FIPS) code for the county in which the facility is located.","Text",0
"tlkpStateFIPSCodes","STATE_NAME",,"The state in which the facility is located.","Text",0
"tlkpTopographyCode","Description",,"A code representing whether the local topography is urban or rural.","Text",0
"tlkpTopographyCode","LookupCode",,"System generated Unique Primary key.","Text",0
"tlkpWindSpeedUnitCodes","Description",,"Wind Speed Unit Descriptions.","Text",0
"tlkpWindSpeedUnitCodes","LookupCode",,"System generated Unique Primary key.","Text",0
